GP_PRACTICE_CODE,POSTCODE,CCG_CODE,NHSE_AREA_TEAM_CODE,NHSE_REGION_CODE,TOTAL_ALL,TOTAL_MALE,TOTAL_FEMALES,ORG_NAME
A81001,TS18 1HU,00K,Q45,Y54,4182,2045,2137,THE DENSHAM SURGERY
A81002,TS18 2AW,00K,Q45,Y54,19554,9645,9909,QUEENS PARK MEDICAL CENTRE
A81003,TS26 8DB,00K,Q45,Y54,3485,1834,1651,THE HEALTH CENTRE
A81004,TS1 3BE,00M,Q45,Y54,8971,4621,4350,WOODLANDS ROAD SURGERY
A81005,TS14 7DJ,00M,Q45,Y54,7947,3867,4080,SPRINGWOOD SURGERY
A81006,TS18 2AT,00K,Q45,Y54,12289,5974,6315,TENNANT STREET MEDICAL PRACTICE
A81007,TS24 7PW,00K,Q45,Y54,9490,4644,4846,BANKHOUSE SURGERY
A81008,TS6 6TD,00M,Q45,Y54,4143,2140,2003,ALBERT HOUSE CLINIC
A81009,TS5 6HF,00M,Q45,Y54,9266,4562,4704,VILLAGE MEDICAL CENTRE
A81011,TS24 7PW,00K,Q45,Y54,11209,5480,5729,CHADWICK PRACTICE
A81012,TS3 6AL,00M,Q45,Y54,4692,2445,2247,WESTBOURNE MEDICAL CENTRE
A81013,TS12 2FF,00M,Q45,Y54,5974,2999,2975,BROTTON SURGERY
A81014,TS23 2LA,00K,Q45,Y54,3801,1852,1949,QUEENSTREE PRACTICE
A81015,TS10 1TZ,00M,Q45,Y54,2948,1437,1511,LAGAN SURGERY
A81016,TS1 3QY,00M,Q45,Y54,9517,4927,4590,PARK SURGERY
A81017,TS17 0EE,00K,Q45,Y54,21259,10417,10842,WOODBRIDGE PRACTICE
A81018,TS10 4NW,00M,Q45,Y54,5389,2805,2584,BENTLEY MEDICAL PRACTICE
A81019,TS3 7RL,00M,Q45,Y54,10572,5077,5495,CROSSFELL HEALTH CENTRE
A81020,TS4 3BU,00M,Q45,Y54,7951,3889,4062,MARTONSIDE MEDICAL CENTRE
A81021,TS6 6TD,00M,Q45,Y54,13395,6543,6852,NORMANBY MEDICAL CENTRE
A81022,TS12 2TG,00M,Q45,Y54,10699,5300,5399,HILLSIDE PRACTICE
A81023,TS1 2NX,00M,Q45,Y54,7694,3955,3739,THE ENDEAVOUR PRACTICE
A81025,TS18 1HU,00K,Q45,Y54,4214,2115,2099,THE DOVECOT SURGERY
A81026,TS5 6HA,00M,Q45,Y54,13706,6840,6866,THE LINTHORPE SURGERY
A81027,TS15 9DD,00K,Q45,Y54,12894,6351,6543,YARM MEDICAL PRACTICE
A81029,TS1 2NX,00M,Q45,Y54,5803,3196,2607,PROSPECT SURGERY
A81030,TS1 3RY,00M,Q45,Y54,11757,5838,5919,BOROUGH ROAD & NUNTHORPE MEDICAL GROUP
A81031,TS24 7PW,00K,Q45,Y54,12700,6178,6522,HAVELOCK GRANGE PRACTICE
A81032,TS14 7DJ,00M,Q45,Y54,10488,5132,5356,THE GARTH
A81033,TS3 6AL,00M,Q45,Y54,3516,1930,1586,OAKFIELD MEDICAL PRACTICE
A81034,TS17 0EE,00K,Q45,Y54,21652,10812,10840,THORNABY & BARWICK MEDICAL GROUP
A81035,TS1 3RX,00M,Q45,Y54,10712,5444,5268,NEWLANDS MEDICAL CENTRE
A81036,TS20 2UZ,00K,Q45,Y54,17213,8344,8869,NORTON MEDICAL CENTRE
A81037,TS1 2NX,00M,Q45,Y54,7224,3775,3449,THE ERIMUS PRACTICE
A81038,TS3 6AL,00M,Q45,Y54,3340,1703,1637,HIRSEL MEDICAL CENTRE
A81039,TS16 9EA,00K,Q45,Y54,8907,4385,4522,EAGLESCLIFFE MEDICAL PRACTICE
A81040,TS23 2DG,00K,Q45,Y54,8554,4267,4287,MARSH HOUSE MEDICAL PRACTICE
A81041,TS24 9DN,00K,Q45,Y54,9108,4581,4527,HART MEDICAL PRACTICE
A81042,TS6 9QG,00M,Q45,Y54,5956,2919,3037,SOUTH GRANGE MEDICAL CENTRE
A81043,TS6 0HA,00M,Q45,Y54,7983,3882,4101,THE MANOR HOUSE SURGERY
A81044,TS25 1QU,00K,Q45,Y54,14220,7017,7203,MCKENZIE HOUSE SURGERY
A81045,TS10 1SR,00M,Q45,Y54,7528,3613,3915,THE COATHAM ROAD SURGERY
A81046,TS18 1YE,00K,Q45,Y54,12943,6397,6546,WOODLANDS FAMILY MEDICAL CENTRE
A81047,TS11 6BW,00M,Q45,Y54,5742,2762,2980,MARSKE MEDICAL CENTRE
A81048,TS11 7BL,00M,Q45,Y54,5023,2504,2519,ZETLAND MEDICAL PRACTICE
A81049,TS3 6AL,00M,Q45,Y54,5410,2681,2729,KINGS MEDICAL CENTRE
A81051,TS5 5NN,00M,Q45,Y54,7448,3590,3858,CAMBRIDGE MEDICAL GROUP
A81052,TS10 4NW,00M,Q45,Y54,7256,3600,3656,THE GREEN HOUSE SURGERY
A81053,TS13 4HW,00M,Q45,Y54,6628,3372,3256,WOODSIDE SURGERY
A81054,TS10 1UA,00M,Q45,Y54,7915,3908,4007,THE SALTSCAR SURGERY
A81056,TS23 2JW,00K,Q45,Y54,2577,1315,1262,MELROSE SURGERY
A81057,TS23 2LS,00K,Q45,Y54,8677,4083,4594,KINGSWAY MEDICAL CENTRE
A81058,TS8 0TL,00M,Q45,Y54,7482,3487,3995,COULBY MEDICAL PRACTICE
A81060,TS26 8DB,00K,Q45,Y54,5314,2582,2732,THE KOH PRACTICE
A81063,TS24 0NZ,00K,Q45,Y54,5349,2797,2552,THE HEADLAND MEDICAL CENTRE
A81064,TS1 2NX,00M,Q45,Y54,6197,3201,2996,THE DISCOVERY PRACTICE
A81065,TS6 6TD,00M,Q45,Y54,3325,1730,1595,THE ESTON SURGERY
A81066,TS21 1JS,00K,Q45,Y54,4189,2082,2107,PARK LANE SURGERY
A81067,TS18 2BP,00K,Q45,Y54,10104,4995,5109,ALMA MEDICAL CENTRE
A81069,TS10 4NW,00M,Q45,Y54,1590,876,714,RAINBOW SURGERY
A81070,TS25 3DQ,00K,Q45,Y54,1966,1033,933,WYNYARD ROAD PRIMARY CARE CENTRE
A81602,TS23 2DG,00K,Q45,Y54,2531,1292,1239,DR RASOOL
A81605,TS10 3LA,00M,Q45,Y54,2391,1173,1218,PARK AVENUE SURGERY
A81608,TS17 6NP,00K,Q45,Y54,2548,1289,1259,ELM TREE SURGERY
A81609,TS18 2EP,00K,Q45,Y54,1430,804,626,A & B MEDICAL PRACTICE
